number,name,link,image,position,club,birthplace,height,mv,age
,Gökdeniz Karadeniz,6871,https://img.a.transfermarkt.technology/portrait/big/6871-1554139886.png,Left Winger,,Giresun,168,,42
,Evren Gayir,6872,,Central Midfield,,İstanbul,174,,40
,Sinan Kaloglu,6873,https://img.a.transfermarkt.technology/portrait/big/6873-1465322940.jpg,Centre-Forward,,Tunceli,188,,41
,Ayhan Akman,6876,https://img.a.transfermarkt.technology/portrait/big/s_6876_141_2010_2.jpg,Central Midfield,,Bursa,173,,45
,Tümer Metin,6879,https://img.a.transfermarkt.technology/portrait/big/F_D_s_6879_2008_2.jpg,Attacking Midfield,,Zonguldak,178,,47
,Tayfun Cora,6885,https://img.a.transfermarkt.technology/portrait/big/s_6885_449_2010_2.jpg,Centre-Back,,Trabzon,182,,38
,Recep Asil,6886,https://img.a.transfermarkt.technology/portrait/big/k_g_s_6886_2007_1.jpg,Right-Back,,Hatay,182,,46
,Fatih Sen,6892,https://img.a.transfermarkt.technology/portrait/big/E_g_s_6892_2007_1.jpg,Attacking Midfield,,Samsun,173,,43
,Ramazan Kursunlu,6894,https://img.a.transfermarkt.technology/portrait/big/6894-1543955225.jpg,Goalkeeper,,İzmir,185,,41
,Hasan Sönmez,6895,https://img.a.transfermarkt.technology/portrait/big/s_6895_589_2009_1.jpg,Goalkeeper,,Bursa,183,,45
,Hüseyin Cimsir,6897,https://img.a.transfermarkt.technology/portrait/big/6897-1537453398.jpg,Defensive Midfield,,Trabzon,188,,43
,Yasin Sülün,6898,https://img.a.transfermarkt.technology/portrait/big/t_f_s_6898_2007_1.jpg,Defensive Midfield,,İstanbul,183,,44
,Ibrahim Ege,6899,https://img.a.transfermarkt.technology/portrait/big/6899-1588883220.jpeg,Central Midfield,,Erzurum,174,,39
,Serkan Kilic,6903,https://img.a.transfermarkt.technology/portrait/big/B_q_s_6903_2008_1.jpg,Left-Back,,Uşak,172,,42
,Sergen Yalcin,6904,https://img.a.transfermarkt.technology/portrait/big/s_6904_123_2013_07_25_1.jpg,Attacking Midfield,,İstanbul,181,,49
,Ahmet Yildirim,6905,https://img.a.transfermarkt.technology/portrait/big/6905-1584899195.jpeg,Defensive Midfield,,Amasya,186,,48
,Mustafa Yalcinkaya,6908,https://img.a.transfermarkt.technology/portrait/big/y_l_s_6908_2005_1.jpg,Right-Back,,Isparta,177,,41
,Serdar Topraktepe,6909,https://img.a.transfermarkt.technology/portrait/big/H_L_s_6909_2008_1.jpg,Left Winger,,İstanbul,183,,46
,Hasan Ücüncü,6910,https://img.a.transfermarkt.technology/portrait/big/w_o_s_6910_2006_1.jpg,Defensive Midfield,,Trabzon,177,,41
,Gökhan Zan,6911,https://img.a.transfermarkt.technology/portrait/big/6911-1410177388.jpg,Centre-Back,,Hatay,192,,41
,Erdinc Yavuz,6912,https://img.a.transfermarkt.technology/portrait/big/s_6912_2293_2014_02_28_1.jpg,Centre-Back,,Kayseri,187,,43
,Ibrahim Üzülmez,6914,https://img.a.transfermarkt.technology/portrait/big/v_U_s_6914_2008_1.jpg,Left-Back,,Kocaeli,175,,48
,Mehmet Yilmaz,6915,https://img.a.transfermarkt.technology/portrait/big/s_6915_19771_2012_11_20_1.jpg,Centre-Forward,,Trabzon,185,,43
,Ümit Aydin,6916,,Defensive Midfield,,İstanbul,183,,42
,Recep Biler,6919,https://img.a.transfermarkt.technology/portrait/big/s_6919_1267_2010_1.jpg,Goalkeeper,,İzmir,193,,41
,Suat Usta,6920,https://img.a.transfermarkt.technology/portrait/big/R_D_s_6920_2007_2.jpg,Centre-Back,,Samsun,183,,41
,Emre Toraman,6921,https://img.a.transfermarkt.technology/portrait/big/6921-1492351166.jpeg,Defensive Midfield,,Samsun,179,,43
,Fatih Tekke,6924,https://img.a.transfermarkt.technology/portrait/big/6924-1490100252.jpg,Centre-Forward,,Trabzon,178,,45
,Ümit Özat,6933,https://img.a.transfermarkt.technology/portrait/big/s_6933_123_2012_12_05_1.jpg,Left-Back,,Ankara,186,,45
,Tuncay Sanli,6934,https://img.a.transfermarkt.technology/portrait/big/6934-1590027162.jpeg,Left Winger,,Sakarya,182,,40
,Mehmet Bölükbasi,6938,https://img.a.transfermarkt.technology/portrait/big/w_x_s_6938_2007_1.jpg,Goalkeeper,,Trabzon,188,,44
,Murat Özatak,6941,,Right-Back,,Aksaray,173,,45
,Murat Sahin,6942,https://img.a.transfermarkt.technology/portrait/big/w_j_s_6942_524_2008_1.jpg,Goalkeeper,,İstanbul,184,,46
,Ilker Dalcicek,6943,,Central Midfield,,Kırıkkale,172,,45
,Güngör Öztürk,6944,https://img.a.transfermarkt.technology/portrait/big/6944-1490455991.jpeg,Centre-Back,,İstanbul,184,,44
,Ali Asim Balkaya,6945,,Centre-Forward,,Sakarya,188,,48
,Ercan Ünal,6946,https://img.a.transfermarkt.technology/portrait/big/6946-1463150952.jpg,Centre-Back,,Adana,182,,39
,Ibrahim Yavuz,6948,https://img.a.transfermarkt.technology/portrait/big/6948-1575397134.jpeg,Right-Back,,İstanbul,179,,39
,Necati Ates,6949,https://img.a.transfermarkt.technology/portrait/big/g_w_s_6949_681_2008_1.jpg,Centre-Forward,,İzmir,182,,42
,Gökmen Yildiran,6950,,Centre-Forward,,İstanbul,,,44
,Cafer Aydin,6954,https://img.a.transfermarkt.technology/portrait/big/6954-1618319384.jpeg,Centre-Forward,,Çorum,181,,50
,Volkan Bekiroglu,6955,https://img.a.transfermarkt.technology/portrait/big/d_E_s_6955_2008_2.jpg,Left-Back,,Osmaniye,175,,44
,Atilla Kücüktaka,6956,,Goalkeeper,,İzmir,183,,50
,Serkan Bekiroglu,6957,,Centre-Back,,Osmaniye,180,,43
,Ilhan Var,6958,https://img.a.transfermarkt.technology/portrait/big/6958-1561295516.jpg,Left Midfield,,Sakarya,182,,42
,Ufuk Ates,6960,,Centre-Forward,,İzmir,184,,44
,Serkan Bensol,6964,,Right Midfield,,Mersin,182,,49
,Murat Duman,6965,https://img.a.transfermarkt.technology/portrait/big/Y_F_s_6965_2007_1.jpg,Right-Back,,Manisa,,,48
,Tolga Seyhan,6966,https://img.a.transfermarkt.technology/portrait/big/s_6966_524_2009_1.jpg,Centre-Back,,Giresun,187,,45
,Levent Taskin,6967,https://img.a.transfermarkt.technology/portrait/big/6967-1461424957.jpg,Goalkeeper,,Ankara,183,,45
,Sancak Kaplan,6968,https://img.a.transfermarkt.technology/portrait/big/6968-1411045026.jpg,Left-Back,,Erzurum,178,,40
,Hüseyin Kartal,6989,,Centre-Forward,,Isparta,190,,40
,Mert Korkmaz,6990,https://img.a.transfermarkt.technology/portrait/big/6990-1537453368.jpg,Centre-Back,,İstanbul,188,,51
,Sedat Bas,6991,,Defensive Midfield,,Ankara,178,,44
,Musa Balli,6992,https://img.a.transfermarkt.technology/portrait/big/6992-1640537595.png,Left Winger,,Ankara,172,,39
,Adem Dursun,6993,https://img.a.transfermarkt.technology/portrait/big/K_C_s_6993_2006_1.jpg,Centre-Back,,Sivas,186,,42
,Adem Kocak,6994,https://img.a.transfermarkt.technology/portrait/big/6994-1504358969.jpg,Central Midfield,,Yozgat,178,,39
,Cem Hallaceli,6995,,Attacking Midfield,,Adana,179,,44
,Hakan Kutlu,6996,https://img.a.transfermarkt.technology/portrait/big/C_F_s_6996_2006_1.jpg,Sweeper,,Amasya,182,,50
,Gökmen Baris,6999,https://img.a.transfermarkt.technology/portrait/big/x_T_s_6999_2004_1.jpg,Centre-Back,,Manisa,182,,48
,Özkan Karsli,7000,,Goalkeeper,,Adana,180,,44
,Ümit Ozan Kazmaz,7004,https://img.a.transfermarkt.technology/portrait/big/7004-1466616544.jpg,Attacking Midfield,,Rize,,,46
,Burak Özsarac,7005,https://img.a.transfermarkt.technology/portrait/big/7005-1592242637.jpeg,Centre-Back,,Karabük,185,,43
,Ramazan Özalp,7007,,Left-Back,,Adana,176,,47
,Yilmaz Özlem,7008,https://img.a.transfermarkt.technology/portrait/big/k_O_s_7008_2005_1.jpg,Defensive Midfield,,Bursa,175,,50
,Zafer Özgültekin,7010,https://img.a.transfermarkt.technology/portrait/big/7010-1556718211.jpeg,Goalkeeper,,Sivas,183,,47
,Aykan Öksüz,7011,,Left Midfield,,Hatay,,,40
,Özgür Yildirim,7013,https://img.a.transfermarkt.technology/portrait/big/B_g_s_7013_2006_1.jpg,Central Midfield,,Ankara,179,,43
,Fazli Ulusoy,7015,,Centre-Forward,,İstanbul,184,,47
,Mehmet Ipek,7017,https://img.a.transfermarkt.technology/portrait/big/7017-1650228720.jpeg,Right Midfield,,Trabzon,176,,46
,Hakan Keles,7018,,Centre-Forward,,Sakarya,178,,50
,Bekir Ozan Has,7023,https://img.a.transfermarkt.technology/portrait/big/7023-1473548061.jpg,Central Midfield,,Manisa,175,,37
,Ali Akdeniz,7024,,Left Midfield,,Aydın,178,,47
,Selcuk Sahin,7025,https://img.a.transfermarkt.technology/portrait/big/7025-1596654005.jpeg,Defensive Midfield,,Tunceli,189,,41
,Kemal Aslan,7033,https://img.a.transfermarkt.technology/portrait/big/s_7033_20716_2010_1.jpg,Central Midfield,,Gaziantep,176,,40
,Yusuf Simsek,7034,https://img.a.transfermarkt.technology/portrait/big/c_Z_s_7034_114_2008_1.jpg,Attacking Midfield,,Antalya,185,,47
,Süleyman Kücük,7038,https://img.a.transfermarkt.technology/portrait/big/m_f_s_7038_2007_1.jpg,Goalkeeper,,Manisa,187,,44
,Servet Cetin,7041,https://img.a.transfermarkt.technology/portrait/big/7041-1465605081.jpg,Centre-Back,,Iğdır,191,,41
,Semih Sentürk,7043,https://img.a.transfermarkt.technology/portrait/big/7043-1483915677.png,Centre-Forward,,İzmir,182,,39
,Ilyas Kahraman,7044,https://img.a.transfermarkt.technology/portrait/big/T_Y_s_7044_2008_1.jpg,Attacking Midfield,,İstanbul,178,,46
,Nihat Bastürk,7047,https://img.a.transfermarkt.technology/portrait/big/7047-1575472946.jpeg,Central Midfield,,Afyonkarahisar,169,,48
,Veysel Cihan,7048,https://img.a.transfermarkt.technology/portrait/big/s_7048_589_2009_1.jpg,Centre-Forward,,Nevşehir,186,,46
,Ismail Güldüren,7049,https://img.a.transfermarkt.technology/portrait/big/Z_t_s_7049_2008_1.jpg,Centre-Back,,Bursa,183,,43
,Ümit Bozkurt,7050,https://img.a.transfermarkt.technology/portrait/big/q_C_s_7050_2007_1.jpg,Sweeper,,Gaziantep,181,,46
,Adnan Güngör,7052,https://img.a.transfermarkt.technology/portrait/big/7052-1473083353.jpg,Defensive Midfield,,Samsun,179,,42
,Ali Tandogan,7054,https://img.a.transfermarkt.technology/portrait/big/7054-1469106234.jpg,Right-Back,,Manisa,174,,44
,Fevzi Tuncay,7055,https://img.a.transfermarkt.technology/portrait/big/M_B_s_7055_2006_1.jpg,Goalkeeper,,Muğla,194,,45
,Celil Sagir,7057,https://img.a.transfermarkt.technology/portrait/big/s_U_s_7057_2007_1.jpg,Left Midfield,,Samsun,168,,48
,Kenan Yelek,7058,https://img.a.transfermarkt.technology/portrait/big/s_7058_152_2010_1.jpg,Centre-Back,,Giresun,186,,47
,Özgür Bayer,7061,https://img.a.transfermarkt.technology/portrait/big/s_7061_3207_2010_1.jpg,Centre-Back,,Balıkesir,184,,43
,Serdal Boyraz,7062,https://img.a.transfermarkt.technology/portrait/big/Y_S_s_7062_2005_1.jpg,Defensive Midfield,,Malatya,171,,46
,Serhat Gülpinar,7063,https://img.a.transfermarkt.technology/portrait/big/7063-1554840985.jpeg,Defensive Midfield,,Tokat,180,,43
,Ceyhun Eris,7064,https://img.a.transfermarkt.technology/portrait/big/e_x_s_7064_2006_1.jpg,Attacking Midfield,,Giresun,180,,45
,Can Ulun,7066,https://img.a.transfermarkt.technology/portrait/big/t_f_s_7066_2007_1.jpg,Centre-Back,,Samsun,176,,39
,Olcay Dogu,7067,,Attacking Midfield,,İstanbul,,,45
,Evren Turhan,7069,https://img.a.transfermarkt.technology/portrait/big/x_W_s_7069_2006_1.jpg,Attacking Midfield,,Kayseri,178,,48
,Fatih Yigen,7071,https://img.a.transfermarkt.technology/portrait/big/7071-1473110926.jpg,Defensive Midfield,Serinhisarspor,Manisa,187,,39
,Mustafa Keceli,7072,https://img.a.transfermarkt.technology/portrait/big/s_7072_20_2010_1.jpg,Left-Back,,Ankara,176,,44
,Soner Sahin,7073,https://img.a.transfermarkt.technology/portrait/big/7073-1547156403.jpg,Goalkeeper,,İstanbul,188,,41
,Ibrahim Celik,7074,https://img.a.transfermarkt.technology/portrait/big/s_7074_833_2010_1.jpg,Centre-Back,,Isparta,184,,42
,Ismail Dogan,7077,,Centre-Back,,Kayseri,184,,47
,Volkan Demirel,7079,https://img.a.transfermarkt.technology/portrait/big/7079-1593521584.jpeg,Goalkeeper,,İstanbul,191,,40
,Mustafa Sert,7081,https://img.a.transfermarkt.technology/portrait/big/7081-1551263247.jpg,Centre-Back,,Sakarya,180,,42
,Hakan Cimen,7083,https://img.a.transfermarkt.technology/portrait/big/C_A_s_7083_2007_1.jpg,Centre-Back,,Ankara,,,49
,Ismet Tasdemir,7086,,Defensive Midfield,,Iğdır,180,,48
,Bülent Ertugrul,7087,https://img.a.transfermarkt.technology/portrait/big/d_Y_s_7087_2007_1.jpg,Defensive Midfield,,Denizli,181,,44
,Hakan Bayraktar,7088,https://img.a.transfermarkt.technology/portrait/big/s_7088_524_2009_1.jpg,Defensive Midfield,,Samsun,177,,46
,Bülent Ücüncü,7089,,Second Striker,,İstanbul,168,,48
,Oguz Daglaroglu,7090,https://img.a.transfermarkt.technology/portrait/big/7090-1473429247.jpg,Goalkeeper,,İstanbul,183,,43
,Mehmet Kahriman,7095,https://img.a.transfermarkt.technology/portrait/big/s_7095_1204_2010_1.jpg,Central Midfield,,Trabzon,181,,42
,Levent Kartop,7107,https://img.a.transfermarkt.technology/portrait/big/s_7107_833_2010_1.jpg,Defensive Midfield,,Denizli,170,,43
,Ilker Avcibay,7110,https://img.a.transfermarkt.technology/portrait/big/7110-1485993262.jpeg,Goalkeeper,,Adana,186,,43
,Ünal Sari,7111,https://img.a.transfermarkt.technology/portrait/big/y_k_s_7111_2007_1.jpg,Left Midfield,,Bursa,182,,43
,Bülent Bal,7113,https://img.a.transfermarkt.technology/portrait/big/7113-1470778406.jpg,Centre-Back,,Bursa,185,,45
,Cem Beceren,7115,https://img.a.transfermarkt.technology/portrait/big/7115-1650228672.jpeg,Centre-Back,,İstanbul,188,,46
,Eren Kurnaz,7117,,Right-Back,,Elazığ,171,,41
,Osman Yesilmese,7118,,Right-Back,,Adana,172,,43
,Resit Katiskan,7119,,attack,,Hatay,,,43
,Hüseyin Yenikan,7121,,attack,,Balıkesir,,,51
,Haci Arif Turgut,7123,,Right-Back,,Bayburt,,,47
,Ferdi Tatli,7128,,Right Midfield,,İstanbul,175,,43
,Ümüt Hatipoglu,7129,,Central Midfield,,Elazığ,,,48
,Erdem Genc,7130,,attack,,Ankara,,,46
,Mehmet Ali Cakmak,7131,,Centre-Forward,BSC Agrispor,İzmir,178,,47
,Saffet Akbas,7134,,Centre-Back,,İstanbul,186,,54
,Ertan Aktepe,7135,,Centre-Back,,Samsun,175,,38
,Caner Altin,7138,https://img.a.transfermarkt.technology/portrait/big/w_l_s_7138_2008_1.jpg,Centre-Forward,,Ankara,180,,39
,Musa Aydin,7139,https://img.a.transfermarkt.technology/portrait/big/7139-1468012741.jpg,Right Winger,,Samsun,172,,41
,Baykal Aydinli,7140,https://img.a.transfermarkt.technology/portrait/big/7140-1465500537.jpg,Defensive Midfield,,Samsun,176,,39
,Serkan Aykut,7142,https://img.a.transfermarkt.technology/portrait/big/Z_H_s_7142_2007_1.jpg,Centre-Forward,,Ankara,174,,47
,Sinan Ertan,7147,,Centre-Forward,,Ankara,182,,46
,Onur Karali,7148,,midfield,,Ordu,,,40
,Musa Kus,7149,https://img.a.transfermarkt.technology/portrait/big/e_O_s_7149_2008_2.jpg,Right Midfield,,Kars,178,,44
,Nedim Öztürk,7151,,midfield,,Samsun,179,,39
,Yalcin Ayhan,7152,https://img.a.transfermarkt.technology/portrait/big/7152-1511183198.jpg,Centre-Back,,İstanbul,192,,40
,Mehmet Nas,7153,https://img.a.transfermarkt.technology/portrait/big/7153-1463604547.jpg,Central Midfield,,Gümüşhane,169,,42
,Bekir Gür,7154,,Centre-Back,,Manisa,188,,50
,Caner Celep,7155,https://img.a.transfermarkt.technology/portrait/big/s_7155_1204_2010_1.jpg,Left-Back,,İstanbul,,,38
,Taner Demirbas,7159,https://img.a.transfermarkt.technology/portrait/big/D_f_s_7159_2008_1.jpg,Centre-Forward,,Trabzon,172,,43
,Fazli Ulusal,7162,,Centre-Forward,,Trabzon,183,,48
,Halit Güven Kocabal,7163,https://img.a.transfermarkt.technology/portrait/big/x_a_s_7163_2005_1.jpg,Central Midfield,,İstanbul,180,,43
,Zeki Önatli,7164,,Central Midfield,,Manisa,180,,53
,Aytekin Viduslu,7165,,Defensive Midfield,,Manisa,,,44
,Ilker Yagcioglu,7166,,Right-Back,,Sakarya,,,56
,Behram Zülaloglu,7168,https://img.a.transfermarkt.technology/portrait/big/7168-1506776486.jpg,Goalkeeper,,Tokat,185,,40
,Muhammet Seker,7169,,Left-Back,,Sivas,172,,41
,Osman Özköylü,7170,https://img.a.transfermarkt.technology/portrait/big/7170-1650230079.jpeg,Centre-Back,,Aydın,188,,51
,Sertac Sahin,7172,https://img.a.transfermarkt.technology/portrait/big/7172-1538855804.jpg,Central Midfield,,Kastamonu,,,39
,Serkan Dökme,7173,https://img.a.transfermarkt.technology/portrait/big/S_f_s_7173_2005_1.jpg,Left Midfield,,Manisa,168,,45
,Faruk Bayar,7175,https://img.a.transfermarkt.technology/portrait/big/e_D_s_7175_2008_1.jpg,Left Midfield,,Eskişehir,179,,40
,Turan Bilge,7177,https://img.a.transfermarkt.technology/portrait/big/7177-1469978599.jpg,Left-Back,,Bitlis,178,,44
,Ali Ravci,7179,,Centre-Back,,Malatya,178,,49
,Niyazi Hüseyinoglu,7181,https://img.a.transfermarkt.technology/portrait/big/7181-1471504868.jpg,Centre-Back,,Ordu,,,45
,Okan Koc,7182,https://img.a.transfermarkt.technology/portrait/big/7182-1468236522.jpg,Right Winger,,Sakarya,183,,40
,Hasan Özer,7183,,Centre-Forward,,Siirt,185,,47
,Okan Öztürk,7184,https://img.a.transfermarkt.technology/portrait/big/F_a_s_7184_2007_1.jpg,Centre-Forward,,Amasya,184,,44
,Saffet Akyüz,7186,,Centre-Forward,,Trabzon,182,,52
,Sener Askaroglu,7188,https://img.a.transfermarkt.technology/portrait/big/s_7188_1267_2010_2.jpg,Right Midfield,,Kütahya,176,,42
,Koray Avci,7189,https://img.a.transfermarkt.technology/portrait/big/m_g_s_7189_2007_1.jpg,Defensive Midfield,,Kocaeli,182,,44
,Kubilay Aydin,7190,,Goalkeeper,,Edirne,,,46
,Gündüz Gürol Azer,7192,https://img.a.transfermarkt.technology/portrait/big/O_w_s_7192_2005_2.jpg,Right-Back,,İstanbul,184,,42
,Abdullah Boz,7193,,Left-Back,,Trabzon,,,42
,Can Cumhur Bozaci,7195,https://img.a.transfermarkt.technology/portrait/big/i_I_s_7195_2008_1.jpg,Centre-Back,,Rize,178,,48
,Evren Kürkcü,7197,https://img.a.transfermarkt.technology/portrait/big/7197-1464125816.jpg,Centre-Back,Gaziosmanpasa,Rize,189,,39
,Ercan Nasal,7199,https://img.a.transfermarkt.technology/portrait/big/7199-1467572897.jpg,Defensive Midfield,,Diyarbakır,182,,38
,Murat Hacioglu,7201,https://img.a.transfermarkt.technology/portrait/big/7201-1473084112.jpg,Second Striker,,Rize,169,,43
,Arslan Kopuz,7202,https://img.a.transfermarkt.technology/portrait/big/7202-1504398761.jpg,Goalkeeper,,Rize,183,,45
,Ibrahim Onay,7207,,Defender,,Diyarbakır,176,,38
,Burhan Saatcioglu,7209,,Sweeper,,İstanbul,174,,49
,Senol Karagöl,7212,https://img.a.transfermarkt.technology/portrait/big/P_h_s_7212_2004_1.jpg,Goalkeeper,,Ankara,186,,48
,Erhan Namli,7213,,Attacking Midfield,,Ankara,169,,48
,Ahmet Sahin,7215,https://img.a.transfermarkt.technology/portrait/big/7215-1442395422.jpg,Goalkeeper,,İstanbul,190,,44
,Serdar Samatyali,7216,,Right Midfield,,Balıkesir,185,,46
,Selcuk Büyükkoyuncu,7217,,Defensive Midfield,,Diyarbakır,177,,39
,Zeki Sonbay,7218,,Central Midfield,,Artvin,181,,46
,Ömer Topraktepe,7219,,Centre-Back,,İstanbul,183,,42
,Mutlu Sezer,7220,,Attacking Midfield,,Denizli,172,,48
,Ramazan Tunc,7221,https://img.a.transfermarkt.technology/portrait/big/Q_l_s_7221_2007_1.jpg,Centre-Back,,Gümüşhane,182,,47
,Murat Yigiter,7224,,Goalkeeper,,Bingöl,189,,51
,Serkan Özdemir,7226,https://img.a.transfermarkt.technology/portrait/big/7226-1575069625.jpeg,Right Winger,,İstanbul,168,,46
,Murat Sözkesen,7229,,Centre-Forward,,Ordu,,,47
,Erkan Öz,7230,,attack,,Manisa,,,38
,Cengizhan Hincal,7231,,Right Midfield,,İstanbul,177,,48
,Hasan Yigit,7233,https://img.a.transfermarkt.technology/portrait/big/w_b_s_7233_2007_1.jpg,Right-Back,,İstanbul,179,,47
,Abdullah Ercan,7236,https://img.a.transfermarkt.technology/portrait/big/s_7236_123_2013_03_22_1.jpg,Left Midfield,,İstanbul,182,,50
,Sabri Sarioglu,7237,https://img.a.transfermarkt.technology/portrait/big/7237-1595580698.jpg,Right-Back,,Samsun,170,,38
,Kamil Cakir,7238,,Right Midfield,,İstanbul,174,,49
,Sinan Demircioglu,7240,https://img.a.transfermarkt.technology/portrait/big/L_P_s_7240_2007_1.jpg,Left-Back,,İstanbul,175,,47
,Remzi Acet,7242,,Attacking Midfield,,İstanbul,,,47
,Bahattin Yildirim,7245,,Goalkeeper,,Ankara,,,52
,Ömer Catkic,7249,https://img.a.transfermarkt.technology/portrait/big/s_7249_589_2011_1.jpg,Goalkeeper,,Eskişehir,182,,47
,Kaya Tarakci,7253,https://img.a.transfermarkt.technology/portrait/big/7253-1472902367.jpg,Goalkeeper,,Adana,188,,41
,Muharrem Kasa,7256,https://img.a.transfermarkt.technology/portrait/big/H_d_s_7256_2004_1.jpg,Goalkeeper,,İstanbul,185,,45
,Alper Akici,7261,,Centre-Back,,Gaziantep,189,,45
,Ibrahim Toraman,7264,https://img.a.transfermarkt.technology/portrait/big/E_E_s_7264_2008_1.jpg,Centre-Back,,Sivas,179,,40
,Ilhan Özbay,7265,https://img.a.transfermarkt.technology/portrait/big/W_b_s_7265_2006_1.jpg,Right Midfield,,Yozgat,175,,40
,Imdat Arslan,7267,,Right-Back,,Samsun,168,,52
,Hasan Gültang,7268,,Goalkeeper,,Adana,,,49
,Feridun Sungur,7270,https://img.a.transfermarkt.technology/portrait/big/7270-1473450650.jpg,Right-Back,,Trabzon,177,,38
,Cem Baki,7280,https://img.a.transfermarkt.technology/portrait/big/F_u_s_7280_2006_1.jpg,Right Midfield,,Kocaeli,175,,45
,Bülent Bölükbasi,7281,https://img.a.transfermarkt.technology/portrait/big/s_7281_6_2010_1.jpg,Central Midfield,,Adana,174,,46
,Murat Özkan,7282,https://img.a.transfermarkt.technology/portrait/big/E_M_s_7282_2007_1.jpg,Left Midfield,,İstanbul,179,,44
